lineage	taxon	taxo_id	n
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Scyphozoa/Coronatae	Coronatae	16690	9
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Scyphozoa/Coronatae/Atollidae/Atolla	Atolla	51454	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Scyphozoa/Coronatae/Paraphyllinidae/Paraphyllina	Paraphyllina	51459	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Scyphozoa/Rhizostomeae	Rhizostomeae	16689	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Scyphozoa/Semaeostomeae	Semaeostomeae	16687	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/part	part<Cnidaria	84970	186
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/tentacle	tentacle<Cnidaria	93662	6468
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Ctenophora	Ctenophora	11511	2205
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Ctenophora/Ctenophora X/Ctenophora XX	Ctenophora XX	16691	4
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Ctenophora/Cyclocoela/Beroida	Beroida	16695	42
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Ctenophora/Cyclocoela/Beroida/Beroidae/Beroe	Beroe	51498	198
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Ctenophora/Cyclocoela/Cestida/Cestidae	Cestidae	26051	67
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Ctenophora/Cyclocoela/Lobata	Lobata	16693	116
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Ctenophora/part	part<Ctenophora	85187	53
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Ctenophora/tentacle	tentacle<Ctenophora	94051	35
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Echinodermata	Echinodermata	11509	120
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Echinodermata/pluteus	pluteus	93470	14
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Hemichordata/Enteropneusta	Enteropneusta<Hemichordata	12892	151
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Hemichordata/Enteropneusta/tornaria larvae	tornaria larvae	92754	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Hemichordata/Hemichordata X/Hemichordata XX/Enteropneusta	Enteropneusta<Hemichordata XX	26274	2
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca	Mollusca	11498	797
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Bivalvia/Pteriomorphia/Limoida/Ctenoides	Ctenoides	52166	6
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Cephalopoda	Cephalopoda	12906	55
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Caenogastropoda/Littorinimorpha/Pterotracheoidea	Pterotracheoidea	93223	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Euopisthobranchia/Gymnosomata	Gymnosomata	26427	84
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Euopisthobranchia/Thecosomata	Thecosomata	91704	217
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Euopisthobranchia/Thecosomata/Cavoliniidae	Cavoliniidae	26480	17
