psampleid,pprojid,profile,sampleid,lat,lon,pproject
17591,99,tara_098_00_g,45588,-25.8523333333333,-111.790833333333,Tara 2011
17595,99,tara_098_00_k,45496,-25.82,-111.788,Tara 2011
17594,99,tara_098_00_j,45524,-25.812,-111.724666666667,Tara 2011
17597,99,tara_098_00_m,45268,-25.8898333333333,-111.813166666667,Tara 2011
17600,99,tara_099_00_b,45401,-21.1725,-104.901666666667,Tara 2011
17598,99,tara_098_00_n,45149,-25.9006666666667,-111.823333333333,Tara 2011
15113,82,msm_060_264_0001,25156,-34.4995,-22.0878333333333,MSM060
13282,7,tara_070_00_e,45594,-20.3453333333333,-3.25583333333333,TARA 2010
15052,82,msm_060_157_0001,25101,-34.4998333333333,-5.067,MSM060
14873,82,msm_060_023_0001,46896,-34.4988333333333,16.5155,MSM060
17605,99,tara_100_00_e,45153,-12.9391666666667,-96.1011666666667,Tara 2011
15055,82,msm_060_161_0001,25168,-34.4991666666667,-5.72016666666667,MSM060
15136,82,msm_060_310_0001,25164,-34.4985,-29.296,MSM060
17140,5,ccep0810_074,2532,32.5921666666667,-120.468,CCELTER 2008
17129,5,ccep0810_070,2448,32.8515,-120.710666666667,CCELTER 2008
11902,47,p0142,303,25.663,-68.5063333333333,SARGASSO A
17143,5,ccep0810_075,2565,32.5756666666667,-120.394333333333,CCELTER 2008
17137,5,ccep0810_073,2568,32.597,-120.5615,CCELTER 2008
17132,5,ccep0810_071,2455,32.8963333333333,-120.708666666667,CCELTER 2008
17609,99,tara_101_00_a,45164,-8.63333333333333,-89.479,Tara 2011
16388,2,boum042,7139,33.6271666666667,32.6546666666667,BOUM 2008
17612,99,tara_102_00_c,45672,-5.261,-85.1678333333333,Tara 2011
17608,99,tara_100_00_h,45406,-12.9123333333333,-96.137,Tara 2011
11973,47,pp1,346,31.4958333333333,-68.5103333333333,SARGASSO A
13314,7,tara_074_00_a,45396,-16.0401666666667,-28.8916666666667,TARA 2010
13319,7,tara_075_00_a,45664,-18.0561666666667,-32.6801666666667,TARA 2010
12444,1,jerico201707whodde,44936,55.3091666666667,14.599,JERICO 2017
16151,87,ge_2016_197,11700,69.4998333333333,-62.1401666666667,GREENEDGE 2016 C
13323,7,tara_076_00_a,45440,-20.9406666666667,-35.196,TARA 2010
14877,81,station4_cast2,10385,47.6586666666667,-39.1835,NAAMES 02
13326,7,tara_076_00_c,45331,-21.0291666666667,-35.3498333333333,TARA 2010
12437,1,jerico201707hanobkt,44941,55.6173333333333,14.8673333333333,JERICO 2017
11211,17,leg1_38,1135,42.883,6.8991666666666696,MOOSE GE 2014
14903,81,station4_cast6,10389,47.5793333333333,-38.8488333333333,NAAMES 02
14890,81,station4_cast4,10402,47.6245,-39.0525,NAAMES 02
15987,87,ge_2016_087,11710,68.0715,-62.1263333333333,GREENEDGE 2016 C
12390,1,jerico201707a17,44959,58.2843333333333,10.5043333333333,JERICO 2017
11201,32,somba_2014_leg2_015,1679,37.4661666666667,1.7005,SOMBA 2014
12361,1,jerico2017074by5,44938,55.25,15.9841666666667,JERICO 2017
16458,2,boum094,7154,34.1121666666667,18.5423333333333,BOUM 2008
17618,99,tara_104_00_a,45143,-0.9948,-84.5866666666667,Tara 2011
13347,7,tara_078_00_b,45654,-29.6613333333333,-43.1895,TARA 2010
11930,47,p0234,324,28.8356666666667,-65.494,SARGASSO A
15679,49,tara_189_09,45659,78.1333333333333,115.868,TARA 2013
16392,2,boum044,7123,33.6265,32.6528333333333,BOUM 2008
11932,47,p0242,319,28.8815,-65.424,SARGASSO A
15683,49,tara_194_02,45518,73.3825,-168.5345,TARA 2013
15682,49,tara_194_01,45056,73.3841666666667,-168.147333333333,TARA 2013
15391,9,tara_144_00_f,45547,36.3396666666667,-72.6908333333333,TARA 2012 A
17551,99,tara_086_00_b,44967,-64.3493333333333,-53.1021666666667,Tara 2011
17549,99,tara_084_00_b,45712,-60.4095,-60.4488333333333,Tara 2011
12563,51,tara_142_01_a,45455,25.7368333333333,-86.5425,TARA 2012 B
11637,46,outpace_044,1868,-19.2645,164.639,OUTPACE 2015
11947,47,p0290,335,24.6675,-62.4985,SARGASSO A
11939,47,p0279,337,24.7983333333333,-62.5863333333333,SARGASSO A
17626,99,tara_107_00_a,45584,-0.4831,-84.5791666666667,Tara 2011
16357,2,boum023,7163,33.5243333333333,32.5958333333333,BOUM 2008
12497,36,rk24,3755,-50.3586666666667,66.7166666666667,KEOPS 2
13378,7,tara_080_00_a,45671,-40.6515,-52.1973333333333,TARA 2010
17625,99,tara_106_00_g,45163,-0.0599666666666667,-84.5965,Tara 2011
11954,47,p0307,301,25.3345,-62.7506666666667,SARGASSO A
14907,83,p1706_47,47569,35.1235,-122.599833333333,CCELTER 2017
11956,47,p0317,311,25.5783333333333,-62.8018333333333,SARGASSO A
11962,47,p0373,334,26.6668333333333,-62.7493333333333,SARGASSO A
11667,46,outpace_069,1840,-19.9996666666667,167.999333333333,OUTPACE 2015
11955,47,p0312,339,25.6671666666667,-62.7463333333333,SARGASSO A
11654,46,outpace_058,1913,-19.2395,164.579833333333,OUTPACE 2015
11648,46,outpace_053,1771,-19.2301666666667,164.601,OUTPACE 2015
11957,47,p0319,342,25.667,-62.7865,SARGASSO A
11670,46,outpace_071,1828,-19.98,168.015666666667,OUTPACE 2015
11961,47,p0365,340,26.335,-62.7503333333333,SARGASSO A
17630,99,tara_109_00_d,45477,2.07666666666667,-84.5203333333333,Tara 2011
15289,69,m106_013,46272,10.9995,-23.0011666666667,M 106
15467,69,m106_044,46256,1.3335,-23.0003333333333,M 106
10418,22,c_msm22_048,46208,-0.0035,-23.1126666666667,MSM 22
15656,49,tara_178_01,45018,77.1625,73.2051666666667,TARA 2013
15521,69,m106_061,46259,-1.99983333333333,-23.0006666666667,M 106
